Index,value
1,4440037.12
2,4700866.88
3,4448247.36
4,5217132.48
5,3741001.28
6,4951083.84
7,3705257.28
8,4561478.72
9,4162318.4
10,4935244.48
11,4244977.92
12,4499114.88
13,4722854.4
14,4763428.48
15,4388038.4
16,5071913.28
17,4939165.76
18,4705396.8
19,4511830.08
20,4680420.16
21,3987086.08
22,4666842.24
23,4554146.88
24,5062013.44
25,4497943.04
26,4143806.72
27,4644166.72
28,4528537.6
29,5256029.12
30,4831105.92
31,4819270.72
32,4680390.4
33,4779894.72
34,4922535.68
35,5659400.32
36,4401627.2
37,5268520.64
38,4168719.04
39,4065768.96
40,5198696
41,5444064
42,4157930.56
43,4716150.72
44,4867203.84
45,4601654.4
46,4694849.92
47,4629049.6
48,4650149.12
49,4179763.2
50,4241576.64
51,5555225.6
52,4648071.04
53,4261890.56
54,4165121.28
55,4669582.08
56,4867367.36
57,4892949.76
58,4349615.04
59,4551665.28
60,4696715.2
61,4556677.12
62,4680312.32
63,4063823.36
64,5107445.76
65,3996672.32
66,4750254.08
67,4954594.24
68,5463196.16
69,4257818.88
70,4105041.6
71,4812649.28
72,4178200.96
73,4785687.04
74,4522608.96
75,4889418.88
76,5545176.32
77,4565754.24
78,4229484.16
79,5141644.48
80,4834207.04
81,4857607.68
82,4187554.24
83,5130062.08
84,4226006.72
85,4940944.32
86,4463995.2
87,4613935.04
88,4843371.2
89,4637339.52
90,4537021.12
91,4300125.12
92,4085627.84
93,4403964.16
94,4851364.8
95,4677779.52
96,5290858.24
97,4156502.72
98,4265122.56
99,4857071.36
100,4700056
